MME_ID,Timestamp,Vendor,MM_AttachedUEs,MM_AttachAtt,MM_AttachSucc,CPU_Load,Paging_Attempts,MM_TAU_Att,MM_TAU_Succ,S6a_AuthInfoReq,S6a_AuthInfoSucc
MME_Lisboa_01,2025-09-10 14:15:00,Nokia,3384,343,318,52.63903140603634,153,173,169,378,325
MME_Lisboa_01,2025-09-10 14:30:00,Nokia,2172,228,218,41.02694274949658,99,122,110,257,234
MME_Lisboa_01,2025-09-10 14:45:00,Nokia,3061,289,273,45.537499144836175,155,141,145,300,279
MME_Lisboa_01,2025-09-10 15:00:00,Nokia,2568,285,271,58.36051575541135,163,132,127,295,280
MME_Lisboa_01,2025-09-10 15:15:00,Nokia,2876,258,251,38.92086860245755,142,138,131,275,265
MME_Lisboa_01,2025-09-10 15:30:00,Nokia,3128,307,283,57.31577941423382,111,163,151,335,290
MME_Lisboa_01,2025-09-10 15:45:00,Nokia,2752,281,271,55.57423803582268,119,134,135,301,292
MME_Lisboa_01,2025-09-10 16:00:00,Nokia,2824,301,289,55.437408781751,71,128,131,337,297
MME_Lisboa_01,2025-09-10 16:15:00,Nokia,3087,323,300,42.7960897306074,120,145,157,352,325
MME_Lisboa_01,2025-09-10 16:30:00,Nokia,3350,356,334,50.04148393531501,142,159,163,414,349
MME_Lisboa_01,2025-09-10 16:45:00,Nokia,3270,338,329,55.422184006897794,140,155,162,386,344
MME_Lisboa_01,2025-09-10 17:00:00,Nokia,3402,330,315,51.666346379175906,151,160,175,355,328
MME_Lisboa_01,2025-09-10 17:15:00,Nokia,2892,312,306,50.81428881341133,137,123,144,324,317
MME_Lisboa_01,2025-09-10 17:30:00,Nokia,3052,297,277,50.0215992343287,139,147,154,321,297
MME_Lisboa_01,2025-09-10 17:45:00,Nokia,2451,267,247,46.35169606636726,81,111,117,292,267
MME_Lisboa_01,2025-09-10 18:00:00,Nokia,3448,385,370,60.290125770879484,184,167,164,416,389
MME_Lisboa_01,2025-09-10 18:15:00,Nokia,2828,257,249,56.774603012105466,120,152,147,289,262
MME_Lisboa_01,2025-09-10 18:30:00,Nokia,3685,383,367,52.83134509818534,147,166,170,410,377
MME_Lisboa_01,2025-09-10 18:45:00,Nokia,4751,465,441,68.78060861714702,212,230,229,513,456
MME_Lisboa_01,2025-09-10 19:00:00,Nokia,3937,410,396,52.83999225333401,169,195,184,467,413
MME_Lisboa_01,2025-09-10 19:15:00,Nokia,4474,432,412,66.80259795146164,173,216,207,479,434
MME_Lisboa_01,2025-09-10 19:30:00,Nokia,3301,316,295,53.043640706591674,134,153,152,343,313
MME_Lisboa_01,2025-09-10 19:45:00,Nokia,4025,404,377,68.28897820190512,171,193,188,452,408
MME_Lisboa_01,2025-09-10 20:00:00,Nokia,3880,416,382,68.14310361684097,187,201,179,467,411
MME_Lisboa_01,2025-09-10 20:15:00,Nokia,3927,413,378,52.733273679305135,160,220,184,466,397
MME_Lisboa_01,2025-09-10 20:30:00,Nokia,4219,444,422,70.25089397464131,195,195,205,476,440
MME_Lisboa_01,2025-09-10 20:45:00,Nokia,3584,354,349,51.1377812689559,140,188,164,375,366
MME_Lisboa_01,2025-09-10 21:00:00,Nokia,3853,385,362,51.97464965804209,190,177,196,432,397
MME_Lisboa_01,2025-09-10 21:15:00,Nokia,3490,361,353,53.17238667827743,173,176,172,385,363
MME_Lisboa_01,2025-09-10 21:30:00,Nokia,4471,475,471,67.4108977917433,185,224,222,514,492
MME_Lisboa_01,2025-09-10 21:45:00,Nokia,4353,450,419,64.3378172568198,179,221,195,493,436
MME_Lisboa_01,2025-09-10 22:00:00,Nokia,1699,193,180,28.18945232985527,107,84,86,204,195
MME_Lisboa_01,2025-09-10 22:15:00,Nokia,1613,142,140,35.20310072775759,70,85,69,136,144
MME_Lisboa_01,2025-09-10 22:30:00,Nokia,2276,218,205,41.44306375049002,66,104,105,246,214
MME_Lisboa_01,2025-09-10 22:45:00,Nokia,1993,208,194,34.823852074842016,73,86,93,236,208
MME_Lisboa_01,2025-09-10 23:00:00,Nokia,1351,138,131,34.749697639653405,112,48,65,153,127
MME_Lisboa_01,2025-09-10 23:15:00,Nokia,2172,226,214,42.14707440672098,146,112,104,267,214
MME_Lisboa_01,2025-09-10 23:30:00,Nokia,2366,256,253,35.99141428814861,101,101,108,262,275
MME_Lisboa_01,2025-09-10 23:45:00,Nokia,2352,223,214,48.672661472217065,95,132,125,257,209
MME_Lisboa_01,2025-09-11 00:00:00,Nokia,1966,167,155,35.124935648857715,116,75,111,172,164
MME_Lisboa_01,2025-09-11 00:15:00,Nokia,2119,204,192,39.08337103057373,81,131,121,240,205
MME_Lisboa_01,2025-09-11 00:30:00,Nokia,1573,151,139,33.57587167646526,122,65,76,148,159
MME_Lisboa_01,2025-09-11 00:45:00,Nokia,2102,214,205,34.04165429912039,103,115,110,217,212
MME_Lisboa_01,2025-09-11 01:00:00,Nokia,2189,198,188,38.584489533586726,121,112,102,209,184
MME_Lisboa_01,2025-09-11 01:15:00,Nokia,1843,188,183,27.840122690679543,75,92,80,206,196
MME_Lisboa_01,2025-09-11 01:30:00,Nokia,2206,256,242,50.813502293737905,70,105,112,288,261
MME_Lisboa_01,2025-09-11 01:45:00,Nokia,1794,163,162,36.540133070428325,100,91,92,178,183
MME_Lisboa_01,2025-09-11 02:00:00,Nokia,2485,251,235,42.10958227472161,132,131,117,292,238
MME_Lisboa_01,2025-09-11 02:15:00,Nokia,2323,213,201,35.130494785412914,80,108,103,228,214
MME_Lisboa_01,2025-09-11 02:30:00,Nokia,2369,229,224,52.40302667442355,56,137,115,254,234
MME_Lisboa_01,2025-09-11 02:45:00,Nokia,1674,167,157,33.89064308576354,46,82,59,184,167
MME_Lisboa_01,2025-09-11 03:00:00,Nokia,2168,198,194,42.86373315557168,62,97,99,215,203
MME_Lisboa_01,2025-09-11 03:15:00,Nokia,1906,183,181,41.0200723765614,104,91,100,196,198
MME_Lisboa_01,2025-09-11 03:30:00,Nokia,1788,180,166,37.43023018496886,118,92,83,209,159
MME_Lisboa_01,2025-09-11 03:45:00,Nokia,1358,161,151,37.13301288978351,66,63,57,156,157
MME_Lisboa_01,2025-09-11 04:00:00,Nokia,1925,223,202,33.83995204347708,62,89,107,224,219
MME_Lisboa_01,2025-09-11 04:15:00,Nokia,2116,213,202,42.58805389793176,134,114,90,238,213
MME_Lisboa_01,2025-09-11 04:30:00,Nokia,1761,219,207,35.892475363556564,62,91,92,256,219
MME_Lisboa_01,2025-09-11 04:45:00,Nokia,2158,231,216,34.79012471623546,101,97,104,250,233
MME_Lisboa_01,2025-09-11 05:00:00,Nokia,2141,174,163,33.913979880757545,104,101,99,198,160
MME_Lisboa_01,2025-09-11 05:15:00,Nokia,2094,198,194,53.1857148288385,71,102,106,237,197
MME_Lisboa_01,2025-09-11 05:30:00,Nokia,2097,234,216,40.7755560880615,78,121,87,243,233
MME_Lisboa_01,2025-09-11 05:45:00,Nokia,2214,227,217,45.22543857573,123,106,120,249,233
MME_Lisboa_01,2025-09-11 06:00:00,Nokia,2977,279,266,47.88436914163731,125,149,139,296,272
MME_Lisboa_01,2025-09-11 06:15:00,Nokia,2390,215,207,41.612636969290506,112,121,109,222,230
MME_Lisboa_01,2025-09-11 06:30:00,Nokia,2567,269,256,45.65692487049152,125,128,118,278,263
MME_Lisboa_01,2025-09-11 06:45:00,Nokia,2829,278,261,47.1864931683744,146,144,138,302,272
MME_Lisboa_01,2025-09-11 07:00:00,Nokia,3448,293,280,56.86895891391574,174,180,169,324,299
MME_Lisboa_01,2025-09-11 07:15:00,Nokia,2471,215,205,45.441887881241385,106,117,106,228,210
MME_Lisboa_01,2025-09-11 07:30:00,Nokia,3035,305,282,42.23059313464401,167,147,143,334,315
MME_Lisboa_01,2025-09-11 07:45:00,Nokia,3720,379,357,57.636023545771934,137,178,166,424,386
MME_Lisboa_01,2025-09-11 08:00:00,Nokia,3811,397,368,54.29732162405901,125,178,187,435,384
MME_Lisboa_01,2025-09-11 08:15:00,Nokia,3996,424,403,66.36407256561172,196,197,196,480,415
MME_Lisboa_01,2025-09-11 08:30:00,Nokia,4217,403,387,67.27533348179963,200,207,203,430,406
MME_Lisboa_01,2025-09-11 08:45:00,Nokia,3643,390,364,59.7693550660846,159,169,167,430,391
MME_Lisboa_01,2025-09-11 09:00:00,Nokia,3455,365,353,57.22448974311139,162,157,168,397,368
MME_Lisboa_01,2025-09-11 09:15:00,Nokia,3787,381,378,71.23706331677525,186,199,186,432,387
MME_Lisboa_01,2025-09-11 09:30:00,Nokia,4410,439,404,59.27642858118414,234,219,202,496,432
MME_Lisboa_01,2025-09-11 09:45:00,Nokia,3870,392,376,71.55203677843873,195,188,181,439,399
MME_Lisboa_01,2025-09-11 10:00:00,Nokia,2532,219,204,51.94740313095372,116,132,110,243,218
MME_Lisboa_01,2025-09-11 10:15:00,Nokia,3319,327,317,44.8859806193448,169,182,156,366,333
MME_Lisboa_01,2025-09-11 10:30:00,Nokia,3313,328,312,48.05517109859296,137,181,163,359,328
MME_Lisboa_01,2025-09-11 10:45:00,Nokia,3454,329,312,60.3479109233892,106,177,169,375,324
MME_Lisboa_01,2025-09-11 11:00:00,Nokia,3642,367,342,48.621035394650725,137,184,170,397,365
MME_Lisboa_01,2025-09-11 11:15:00,Nokia,3454,333,313,57.254718405076105,107,180,173,358,318
MME_Lisboa_01,2025-09-11 11:30:00,Nokia,3259,304,286,52.55860299879381,136,172,149,331,297
MME_Lisboa_01,2025-09-11 11:45:00,Nokia,4135,405,381,56.7695045975017,122,205,207,438,397
MME_Lisboa_01,2025-09-11 12:00:00,Nokia,4405,462,445,57.27678709575633,196,208,216,493,457
MME_Lisboa_01,2025-09-11 12:15:00,Nokia,4513,466,445,68.17068630403021,177,231,217,517,473
MME_Lisboa_01,2025-09-11 12:30:00,Nokia,3743,385,343,53.62960026060955,168,186,181,415,355
MME_Lisboa_01,2025-09-11 12:45:00,Nokia,3689,368,350,56.36640868474914,187,178,177,401,367
MME_Lisboa_01,2025-09-11 13:00:00,Nokia,5387,577,544,70.61206054934864,217,271,253,649,586
MME_Lisboa_01,2025-09-11 13:15:00,Nokia,3527,354,329,51.88945106927183,138,165,169,382,342
MME_Lisboa_01,2025-09-11 13:30:00,Nokia,3903,418,391,56.099012253914466,205,197,182,461,414
MME_Lisboa_01,2025-09-11 13:45:00,Nokia,3926,406,389,50.407376222214864,192,199,177,444,425
MME_Lisboa_01,2025-09-11 14:00:00,Nokia,3200,301,298,44.052123775762084,131,150,157,337,315
MME_Lisboa_01,2025-09-11 14:15:00,Nokia,2195,250,241,33.719453151729596,97,104,111,277,258
MME_Lisboa_01,2025-09-11 14:30:00,Nokia,3888,403,377,51.046127575941654,125,193,193,438,390
MME_Lisboa_01,2025-09-11 14:45:00,Nokia,2561,307,289,54.21944447940709,91,155,122,338,301
MME_Lisboa_01,2025-09-11 15:00:00,Nokia,2899,275,262,41.87812526315814,125,128,153,292,289
MME_Lisboa_01,2025-09-11 15:15:00,Nokia,3764,329,319,59.1615624390991,162,189,178,355,327
MME_Lisboa_01,2025-09-11 15:30:00,Nokia,2624,254,243,60.567345048150514,105,162,120,280,255
MME_Lisboa_01,2025-09-11 15:45:00,Nokia,2661,273,259,41.082439202995296,136,135,124,298,258
MME_Lisboa_01,2025-09-11 16:00:00,Nokia,3338,342,326,54.01031171824226,161,171,176,377,350
MME_Lisboa_01,2025-09-11 16:15:00,Nokia,2922,320,316,47.526854263950874,107,139,134,343,339
MME_Lisboa_01,2025-09-11 16:30:00,Nokia,2347,223,208,43.21800804366681,105,120,109,238,223
MME_Lisboa_01,2025-09-11 16:45:00,Nokia,2663,273,251,45.60386151451498,105,127,134,332,250
MME_Lisboa_01,2025-09-11 17:00:00,Nokia,3543,331,325,48.626302496760076,129,178,170,375,345
MME_Lisboa_01,2025-09-11 17:15:00,Nokia,2552,239,225,46.43889341588293,142,129,125,275,235
MME_Lisboa_01,2025-09-11 17:30:00,Nokia,3037,338,321,48.215892329012654,105,158,152,352,340
MME_Lisboa_01,2025-09-11 17:45:00,Nokia,3531,340,327,60.16175218683748,88,157,189,384,338
MME_Lisboa_01,2025-09-11 18:00:00,Nokia,3071,311,286,65.45704457510199,144,161,147,341,295
MME_Lisboa_01,2025-09-11 18:15:00,Nokia,4384,476,453,65.60688150228148,186,221,220,538,472
MME_Lisboa_01,2025-09-11 18:30:00,Nokia,3534,370,350,60.95186430854008,153,193,178,381,370
MME_Lisboa_01,2025-09-11 18:45:00,Nokia,3672,351,331,60.88907907585701,131,205,191,382,346
MME_Lisboa_01,2025-09-11 19:00:00,Nokia,3836,390,370,60.93625400797996,189,192,190,432,389
MME_Lisboa_01,2025-09-11 19:15:00,Nokia,3411,309,292,48.263627042605584,132,162,154,343,329
MME_Lisboa_01,2025-09-11 19:30:00,Nokia,4189,399,380,68.81003982340046,210,218,192,442,400
MME_Lisboa_01,2025-09-11 19:45:00,Nokia,4451,435,411,56.180150564228896,189,215,213,463,435
MME_Lisboa_01,2025-09-11 20:00:00,Nokia,3691,348,314,54.23759428047827,163,174,179,361,336
MME_Lisboa_01,2025-09-11 20:15:00,Nokia,4369,466,444,65.01381541283511,216,219,207,508,472
MME_Lisboa_01,2025-09-11 20:30:00,Nokia,4489,437,403,74.03172419746265,200,217,209,494,429
MME_Lisboa_01,2025-09-11 20:45:00,Nokia,3268,333,320,47.143038437977694,114,161,158,368,332
MME_Lisboa_01,2025-09-11 21:00:00,Nokia,4646,476,445,62.07020182638767,208,225,220,545,468
MME_Lisboa_01,2025-09-11 21:15:00,Nokia,4457,443,418,62.45495724162672,171,227,220,468,436
MME_Lisboa_01,2025-09-11 21:30:00,Nokia,4467,420,401,61.93923720714213,172,223,213,452,420
MME_Lisboa_01,2025-09-11 21:45:00,Nokia,3815,413,396,52.921337375912,159,200,180,446,403
MME_Lisboa_01,2025-09-11 22:00:00,Nokia,1323,154,139,32.76588803335797,57,58,72,160,136
MME_Lisboa_01,2025-09-11 22:15:00,Nokia,1182,101,93,35.4192117229617,16,40,68,98,75
MME_Lisboa_01,2025-09-11 22:30:00,Nokia,1795,189,181,40.78817317832935,125,95,73,202,186
MME_Lisboa_01,2025-09-11 22:45:00,Nokia,2126,210,195,44.8099487191575,89,96,93,229,200
MME_Lisboa_01,2025-09-11 23:00:00,Nokia,2192,223,212,37.094548176876174,83,103,119,242,225
MME_Lisboa_01,2025-09-11 23:15:00,Nokia,1872,161,156,42.03473479264156,98,110,82,179,171
MME_Lisboa_01,2025-09-11 23:30:00,Nokia,1290,134,127,34.464231212104124,40,59,47,144,130
MME_Lisboa_01,2025-09-11 23:45:00,Nokia,1935,213,200,30.150799188276558,86,93,99,237,213
MME_Lisboa_01,2025-09-12 00:00:00,Nokia,2455,245,236,41.58314032656007,102,118,110,274,246
MME_Lisboa_01,2025-09-12 00:15:00,Nokia,2023,208,197,46.48346252655498,106,113,115,233,201
MME_Lisboa_01,2025-09-12 00:30:00,Nokia,2192,243,229,35.26178045458743,101,107,113,243,254
MME_Lisboa_01,2025-09-12 00:45:00,Nokia,1685,186,172,32.69560994438632,95,93,68,212,181
MME_Lisboa_01,2025-09-12 01:00:00,Nokia,1947,216,208,33.0413844822841,109,98,95,239,215
MME_Lisboa_01,2025-09-12 01:15:00,Nokia,1767,183,178,42.03567942084151,92,95,84,205,180
MME_Lisboa_01,2025-09-12 01:30:00,Nokia,1842,180,170,35.80242714163864,57,84,94,205,189
MME_Lisboa_01,2025-09-12 01:45:00,Nokia,1893,223,215,39.01556356568087,111,82,91,220,223
MME_Lisboa_01,2025-09-12 02:00:00,Nokia,1933,191,179,41.89448546580185,70,81,90,199,186
MME_Lisboa_01,2025-09-12 02:15:00,Nokia,1718,140,135,30.39273014266758,68,79,84,160,137
MME_Lisboa_01,2025-09-12 02:30:00,Nokia,1981,201,191,40.59777170233277,66,128,106,224,190
MME_Lisboa_01,2025-09-12 02:45:00,Nokia,2139,209,199,38.676745202811865,64,113,102,241,222
MME_Lisboa_01,2025-09-12 03:00:00,Nokia,1825,182,172,41.187487091262945,64,97,81,213,178
MME_Lisboa_01,2025-09-12 03:15:00,Nokia,2157,202,195,36.81022648591653,68,111,108,224,223
MME_Lisboa_01,2025-09-12 03:30:00,Nokia,2252,236,230,45.143104809772254,112,123,98,255,231
MME_Lisboa_01,2025-09-12 03:45:00,Nokia,1905,197,187,50.58551417188482,57,87,100,214,205
MME_Lisboa_01,2025-09-12 04:00:00,Nokia,1668,165,153,33.21113830348912,56,76,75,194,143
MME_Lisboa_01,2025-09-12 04:15:00,Nokia,2004,195,187,38.7020311999111,87,83,90,226,189
MME_Lisboa_01,2025-09-12 04:30:00,Nokia,1820,194,184,39.255911361635,92,91,78,213,184
MME_Lisboa_01,2025-09-12 04:45:00,Nokia,1575,151,145,39.13507775470765,101,70,68,171,145
MME_Lisboa_01,2025-09-12 05:00:00,Nokia,1987,187,171,40.20286594701585,77,113,106,206,185
MME_Lisboa_01,2025-09-12 05:15:00,Nokia,1593,144,134,34.680764004964814,122,92,62,175,152
MME_Lisboa_01,2025-09-12 05:30:00,Nokia,2403,258,248,47.60887191225696,63,125,116,269,251
MME_Lisboa_01,2025-09-12 05:45:00,Nokia,1342,151,138,37.87956055975585,98,55,66,169,152
MME_Lisboa_01,2025-09-12 06:00:00,Nokia,2583,270,250,46.6033292616612,115,120,119,297,255
MME_Lisboa_01,2025-09-12 06:15:00,Nokia,2961,281,270,49.70924834226039,137,136,139,309,287
MME_Lisboa_01,2025-09-12 06:30:00,Nokia,2478,256,234,41.33569561429623,147,126,123,285,251
MME_Lisboa_01,2025-09-12 06:45:00,Nokia,3466,345,324,53.67111006079412,150,155,166,379,327
MME_Lisboa_01,2025-09-12 07:00:00,Nokia,2739,284,268,58.26809633991909,112,137,125,310,271
MME_Lisboa_01,2025-09-12 07:15:00,Nokia,3370,364,335,54.072126684003756,131,142,173,404,365
MME_Lisboa_01,2025-09-12 07:30:00,Nokia,2493,214,201,54.85919074384583,140,135,120,244,222
MME_Lisboa_01,2025-09-12 07:45:00,Nokia,2507,244,232,50.94250602229688,87,141,119,276,238
MME_Lisboa_01,2025-09-12 08:00:00,Nokia,3873,370,352,60.579003370300484,106,176,192,391,374
MME_Lisboa_01,2025-09-12 08:15:00,Nokia,4353,421,413,57.901799029273306,234,213,222,469,431
MME_Lisboa_01,2025-09-12 08:30:00,Nokia,4194,456,426,53.05799804314914,145,220,204,488,443
MME_Lisboa_01,2025-09-12 08:45:00,Nokia,4134,418,404,68.41164630893496,204,204,178,463,423
MME_Lisboa_01,2025-09-12 09:00:00,Nokia,3847,378,355,68.00461130160778,181,192,210,423,364
MME_Lisboa_01,2025-09-12 09:15:00,Nokia,4106,411,400,64.13613436653759,198,215,193,446,404
MME_Lisboa_01,2025-09-12 09:30:00,Nokia,4399,453,429,70.23649194023471,213,208,228,501,434
MME_Lisboa_01,2025-09-12 09:45:00,Nokia,4323,423,404,61.38218731228755,204,212,217,472,433
MME_Lisboa_01,2025-09-12 10:00:00,Nokia,3398,339,325,53.252912429214966,129,164,172,375,333
MME_Lisboa_01,2025-09-12 10:15:00,Nokia,2865,273,263,48.822952324872176,115,134,142,291,292
MME_Lisboa_01,2025-09-12 10:30:00,Nokia,3671,382,358,58.60063764968003,115,180,176,407,366
MME_Lisboa_01,2025-09-12 10:45:00,Nokia,2712,261,251,46.07735774852439,113,147,116,295,256
MME_Lisboa_01,2025-09-12 11:00:00,Nokia,2430,214,196,42.70042548368789,71,127,123,236,206
MME_Lisboa_01,2025-09-12 11:15:00,Nokia,2314,196,185,55.81228461699835,94,113,106,217,191
MME_Lisboa_01,2025-09-12 11:30:00,Nokia,2817,301,277,47.705723488106266,117,122,125,336,304
MME_Lisboa_01,2025-09-12 11:45:00,Nokia,3082,300,288,35.66228967257391,123,138,160,343,307
MME_Lisboa_01,2025-09-12 12:00:00,Nokia,3543,333,318,59.83914014051512,197,181,160,377,345
MME_Lisboa_01,2025-09-12 12:15:00,Nokia,3298,306,292,54.90586763131603,126,160,160,349,295
MME_Lisboa_01,2025-09-12 12:30:00,Nokia,3758,379,371,55.608003455010305,135,188,174,424,383
MME_Lisboa_01,2025-09-12 12:45:00,Nokia,3767,354,343,56.30104898027608,170,183,187,388,356
MME_Lisboa_01,2025-09-12 13:00:00,Nokia,3614,373,361,50.31772274403318,131,195,175,412,375
MME_Lisboa_01,2025-09-12 13:15:00,Nokia,4410,431,413,67.83160528641774,179,211,215,482,440
MME_Lisboa_01,2025-09-12 13:30:00,Nokia,5015,468,448,71.01292285172848,204,249,245,509,468
MME_Lisboa_01,2025-09-12 13:45:00,Nokia,3445,353,334,50.62992825319322,150,173,169,410,350
MME_Lisboa_01,2025-09-12 14:00:00,Nokia,2494,254,235,43.58706789314666,109,127,129,270,235
MME_Lisboa_01,2025-09-12 14:15:00,Nokia,3434,285,281,55.15747885842247,119,173,161,318,307
MME_Lisboa_01,2025-09-12 14:30:00,Nokia,3237,347,330,54.99295419792741,197,169,164,384,354
MME_Lisboa_01,2025-09-12 14:45:00,Nokia,2833,294,277,36.556575074405224,112,140,126,328,291
MME_Lisboa_01,2025-09-12 15:00:00,Nokia,2156,193,175,40.500457833207456,95,104,102,206,200
MME_Lisboa_01,2025-09-12 15:15:00,Nokia,3240,341,330,47.620976966341864,155,155,157,383,342
MME_Lisboa_01,2025-09-12 15:30:00,Nokia,3225,314,284,58.39571781493645,114,174,168,335,306
