SMF_ID,Timestamp,SM_PduSessEstabAtt,SM_PduSessEstabSucc,SM_ActivePDUSessions,N4_SessEstabReq,N4_SessEstabSucc
SMF_Lisboa_02,2025-09-10 17:45:00,296,287,1730,315,314
SMF_Lisboa_02,2025-09-10 18:00:00,272,261,1442,299,274
SMF_Lisboa_02,2025-09-10 18:15:00,371,353,2157,399,372
SMF_Lisboa_02,2025-09-10 18:30:00,483,473,2194,512,501
SMF_Lisboa_02,2025-09-10 18:45:00,311,301,1818,333,318
SMF_Lisboa_02,2025-09-10 19:00:00,456,431,2292,486,451
SMF_Lisboa_02,2025-09-10 19:15:00,267,259,1487,294,268
SMF_Lisboa_02,2025-09-10 19:30:00,305,294,1580,337,310
SMF_Lisboa_02,2025-09-10 19:45:00,466,454,2248,508,476
SMF_Lisboa_02,2025-09-10 20:00:00,295,285,1534,320,313
SMF_Lisboa_02,2025-09-10 20:15:00,347,334,1720,385,336
SMF_Lisboa_02,2025-09-10 20:30:00,365,356,1634,422,369
SMF_Lisboa_02,2025-09-10 20:45:00,291,287,1637,320,299
SMF_Lisboa_02,2025-09-10 21:00:00,480,479,2332,539,507
SMF_Lisboa_02,2025-09-10 21:15:00,267,256,1261,302,277
SMF_Lisboa_02,2025-09-10 21:30:00,530,517,2614,584,538
SMF_Lisboa_02,2025-09-10 21:45:00,312,301,1698,346,315
SMF_Lisboa_02,2025-09-10 22:00:00,116,109,745,129,114
SMF_Lisboa_02,2025-09-10 22:15:00,176,170,671,189,186
SMF_Lisboa_02,2025-09-10 22:30:00,171,164,891,190,165
SMF_Lisboa_02,2025-09-10 22:45:00,169,163,1043,186,169
SMF_Lisboa_02,2025-09-10 23:00:00,143,140,818,165,154
SMF_Lisboa_02,2025-09-10 23:15:00,120,118,657,116,122
SMF_Lisboa_02,2025-09-10 23:30:00,258,250,993,277,274
SMF_Lisboa_02,2025-09-10 23:45:00,108,104,662,115,113
SMF_Lisboa_02,2025-09-11 00:00:00,104,102,748,128,116
SMF_Lisboa_02,2025-09-11 00:15:00,183,180,805,203,193
SMF_Lisboa_02,2025-09-11 00:30:00,141,137,714,159,160
SMF_Lisboa_02,2025-09-11 00:45:00,174,172,773,196,169
SMF_Lisboa_02,2025-09-11 01:00:00,230,217,985,259,233
SMF_Lisboa_02,2025-09-11 01:15:00,146,141,721,164,154
SMF_Lisboa_02,2025-09-11 01:30:00,166,160,606,183,165
SMF_Lisboa_02,2025-09-11 01:45:00,195,187,887,217,190
SMF_Lisboa_02,2025-09-11 02:00:00,166,162,791,178,178
SMF_Lisboa_02,2025-09-11 02:15:00,149,146,885,161,166
SMF_Lisboa_02,2025-09-11 02:30:00,203,197,992,215,215
SMF_Lisboa_02,2025-09-11 02:45:00,140,136,915,161,145
SMF_Lisboa_02,2025-09-11 03:00:00,187,181,790,190,202
SMF_Lisboa_02,2025-09-11 03:15:00,217,214,958,239,215
SMF_Lisboa_02,2025-09-11 03:30:00,172,164,884,170,174
SMF_Lisboa_02,2025-09-11 03:45:00,193,186,960,219,196
SMF_Lisboa_02,2025-09-11 04:00:00,274,270,1021,296,288
SMF_Lisboa_02,2025-09-11 04:15:00,157,150,745,166,164
SMF_Lisboa_02,2025-09-11 04:30:00,168,162,922,177,171
SMF_Lisboa_02,2025-09-11 04:45:00,116,113,643,135,116
SMF_Lisboa_02,2025-09-11 05:00:00,164,156,810,194,143
SMF_Lisboa_02,2025-09-11 05:15:00,125,118,797,143,119
SMF_Lisboa_02,2025-09-11 05:30:00,100,96,662,105,106
SMF_Lisboa_02,2025-09-11 05:45:00,171,164,690,191,173
SMF_Lisboa_02,2025-09-11 06:00:00,226,221,1459,261,229
SMF_Lisboa_02,2025-09-11 06:15:00,290,280,1362,321,306
SMF_Lisboa_02,2025-09-11 06:30:00,424,402,1933,468,439
SMF_Lisboa_02,2025-09-11 06:45:00,377,363,1611,413,382
SMF_Lisboa_02,2025-09-11 07:00:00,221,217,1349,234,228
SMF_Lisboa_02,2025-09-11 07:15:00,299,284,1518,330,304
SMF_Lisboa_02,2025-09-11 07:30:00,276,265,1218,318,290
SMF_Lisboa_02,2025-09-11 07:45:00,292,275,1445,326,290
SMF_Lisboa_02,2025-09-11 08:00:00,382,368,1679,396,386
SMF_Lisboa_02,2025-09-11 08:15:00,325,307,1914,367,305
SMF_Lisboa_02,2025-09-11 08:30:00,387,378,1872,438,387
SMF_Lisboa_02,2025-09-11 08:45:00,368,356,1957,427,365
SMF_Lisboa_02,2025-09-11 09:00:00,438,417,1990,493,436
SMF_Lisboa_02,2025-09-11 09:15:00,373,365,1888,411,384
SMF_Lisboa_02,2025-09-11 09:30:00,399,393,2168,463,415
SMF_Lisboa_02,2025-09-11 09:45:00,404,400,1812,448,423
SMF_Lisboa_02,2025-09-11 10:00:00,310,299,1287,341,309
SMF_Lisboa_02,2025-09-11 10:15:00,367,344,1798,412,361
SMF_Lisboa_02,2025-09-11 10:30:00,284,277,1425,309,291
SMF_Lisboa_02,2025-09-11 10:45:00,307,296,1629,334,317
SMF_Lisboa_02,2025-09-11 11:00:00,252,246,1333,266,259
SMF_Lisboa_02,2025-09-11 11:15:00,243,241,1400,272,256
SMF_Lisboa_02,2025-09-11 11:30:00,392,371,1921,437,390
SMF_Lisboa_02,2025-09-11 11:45:00,350,337,1810,389,343
SMF_Lisboa_02,2025-09-11 12:00:00,348,338,1835,382,355
SMF_Lisboa_02,2025-09-11 12:15:00,294,279,1426,333,292
SMF_Lisboa_02,2025-09-11 12:30:00,348,341,1493,381,348
SMF_Lisboa_02,2025-09-11 12:45:00,416,404,2036,476,422
SMF_Lisboa_02,2025-09-11 13:00:00,394,386,2017,435,402
SMF_Lisboa_02,2025-09-11 13:15:00,392,386,2142,432,391
SMF_Lisboa_02,2025-09-11 13:30:00,260,255,1320,285,262
SMF_Lisboa_02,2025-09-11 13:45:00,209,204,1424,220,210
SMF_Lisboa_02,2025-09-11 14:00:00,333,327,1545,381,325
SMF_Lisboa_02,2025-09-11 14:15:00,320,315,1725,341,342
SMF_Lisboa_02,2025-09-11 14:30:00,310,298,1508,332,312
SMF_Lisboa_02,2025-09-11 14:45:00,239,231,1295,264,234
SMF_Lisboa_02,2025-09-11 15:00:00,195,180,1066,203,193
SMF_Lisboa_02,2025-09-11 15:15:00,249,245,1178,288,264
SMF_Lisboa_02,2025-09-11 15:30:00,177,173,1099,206,185
SMF_Lisboa_02,2025-09-11 15:45:00,301,283,1335,332,304
SMF_Lisboa_02,2025-09-11 16:00:00,280,265,1422,294,276
SMF_Lisboa_02,2025-09-11 16:15:00,274,266,1402,292,288
SMF_Lisboa_02,2025-09-11 16:30:00,234,228,1372,265,240
SMF_Lisboa_02,2025-09-11 16:45:00,126,122,653,132,116
SMF_Lisboa_02,2025-09-11 17:00:00,302,293,1466,312,319
SMF_Lisboa_02,2025-09-11 17:15:00,380,367,1708,426,381
SMF_Lisboa_02,2025-09-11 17:30:00,272,268,1592,309,276
SMF_Lisboa_02,2025-09-11 17:45:00,197,191,1007,200,204
SMF_Lisboa_02,2025-09-11 18:00:00,415,408,1997,456,429
SMF_Lisboa_02,2025-09-11 18:15:00,409,382,1971,459,407
SMF_Lisboa_02,2025-09-11 18:30:00,396,385,1986,424,401
SMF_Lisboa_02,2025-09-11 18:45:00,296,282,1844,334,288
SMF_Lisboa_02,2025-09-11 19:00:00,429,411,2190,463,432
SMF_Lisboa_02,2025-09-11 19:15:00,360,344,1724,395,364
SMF_Lisboa_02,2025-09-11 19:30:00,335,332,1803,378,343
SMF_Lisboa_02,2025-09-11 19:45:00,391,379,2013,431,394
SMF_Lisboa_02,2025-09-11 20:00:00,294,285,1722,298,293
SMF_Lisboa_02,2025-09-11 20:15:00,375,374,1729,414,400
SMF_Lisboa_02,2025-09-11 20:30:00,357,345,1914,384,366
SMF_Lisboa_02,2025-09-11 20:45:00,298,287,1621,318,309
SMF_Lisboa_02,2025-09-11 21:00:00,283,281,1623,301,300
SMF_Lisboa_02,2025-09-11 21:15:00,263,253,1343,289,266
SMF_Lisboa_02,2025-09-11 21:30:00,323,312,1687,345,322
SMF_Lisboa_02,2025-09-11 21:45:00,330,319,1540,359,340
SMF_Lisboa_02,2025-09-11 22:00:00,137,131,624,160,142
SMF_Lisboa_02,2025-09-11 22:15:00,230,222,1106,271,216
SMF_Lisboa_02,2025-09-11 22:30:00,230,227,1012,243,232
SMF_Lisboa_02,2025-09-11 22:45:00,204,197,1146,220,218
SMF_Lisboa_02,2025-09-11 23:00:00,269,257,1019,293,263
SMF_Lisboa_02,2025-09-11 23:15:00,198,186,1052,217,190
SMF_Lisboa_02,2025-09-11 23:30:00,201,195,946,211,201
SMF_Lisboa_02,2025-09-11 23:45:00,205,200,978,230,217
SMF_Lisboa_02,2025-09-12 00:00:00,110,102,727,118,117
SMF_Lisboa_02,2025-09-12 00:15:00,206,203,948,220,217
SMF_Lisboa_02,2025-09-12 00:30:00,83,79,668,97,89
SMF_Lisboa_02,2025-09-12 00:45:00,183,178,821,190,201
SMF_Lisboa_02,2025-09-12 01:00:00,201,190,936,215,207
SMF_Lisboa_02,2025-09-12 01:15:00,211,210,1171,243,218
SMF_Lisboa_02,2025-09-12 01:30:00,146,140,829,140,148
SMF_Lisboa_02,2025-09-12 01:45:00,197,190,1101,209,193
SMF_Lisboa_02,2025-09-12 02:00:00,207,198,963,236,218
SMF_Lisboa_02,2025-09-12 02:15:00,165,160,925,186,159
SMF_Lisboa_02,2025-09-12 02:30:00,188,179,1146,212,190
SMF_Lisboa_02,2025-09-12 02:45:00,254,245,1295,279,264
SMF_Lisboa_02,2025-09-12 03:00:00,92,89,736,85,99
SMF_Lisboa_02,2025-09-12 03:15:00,219,210,944,242,220
SMF_Lisboa_02,2025-09-12 03:30:00,131,127,852,132,123
SMF_Lisboa_02,2025-09-12 03:45:00,182,171,933,194,194
SMF_Lisboa_02,2025-09-12 04:00:00,161,154,1044,178,156
SMF_Lisboa_02,2025-09-12 04:15:00,181,172,893,200,178
SMF_Lisboa_02,2025-09-12 04:30:00,225,221,1292,231,237
SMF_Lisboa_02,2025-09-12 04:45:00,249,237,1109,280,250
SMF_Lisboa_02,2025-09-12 05:00:00,164,157,612,199,167
SMF_Lisboa_02,2025-09-12 05:15:00,155,152,755,149,162
SMF_Lisboa_02,2025-09-12 05:30:00,134,129,682,140,134
SMF_Lisboa_02,2025-09-12 05:45:00,105,102,829,109,111
SMF_Lisboa_02,2025-09-12 06:00:00,268,259,1416,298,276
SMF_Lisboa_02,2025-09-12 06:15:00,234,228,864,274,243
SMF_Lisboa_02,2025-09-12 06:30:00,297,292,1564,338,298
SMF_Lisboa_02,2025-09-12 06:45:00,249,241,1304,289,248
SMF_Lisboa_02,2025-09-12 07:00:00,271,259,1315,312,264
SMF_Lisboa_02,2025-09-12 07:15:00,343,341,1674,372,365
SMF_Lisboa_02,2025-09-12 07:30:00,330,320,1505,371,335
SMF_Lisboa_02,2025-09-12 07:45:00,255,247,1392,277,272
SMF_Lisboa_02,2025-09-12 08:00:00,370,358,1843,407,377
SMF_Lisboa_02,2025-09-12 08:15:00,394,385,1918,423,406
SMF_Lisboa_02,2025-09-12 08:30:00,299,290,1756,336,303
SMF_Lisboa_02,2025-09-12 08:45:00,360,351,2067,391,376
SMF_Lisboa_02,2025-09-12 09:00:00,345,337,1843,380,360
SMF_Lisboa_02,2025-09-12 09:15:00,347,337,1574,380,359
SMF_Lisboa_02,2025-09-12 09:30:00,416,402,2015,457,428
SMF_Lisboa_02,2025-09-12 09:45:00,386,372,1922,423,382
SMF_Lisboa_02,2025-09-12 10:00:00,398,382,1738,436,406
SMF_Lisboa_02,2025-09-12 10:15:00,294,283,1315,302,300
SMF_Lisboa_02,2025-09-12 10:30:00,265,254,1323,288,271
SMF_Lisboa_02,2025-09-12 10:45:00,237,234,1005,260,238
SMF_Lisboa_02,2025-09-12 11:00:00,199,193,1226,215,193
SMF_Lisboa_02,2025-09-12 11:15:00,374,362,1720,413,378
SMF_Lisboa_02,2025-09-12 11:30:00,286,276,1359,306,298
SMF_Lisboa_02,2025-09-12 11:45:00,329,314,1591,347,345
SMF_Lisboa_02,2025-09-12 12:00:00,308,293,1757,350,322
SMF_Lisboa_02,2025-09-12 12:15:00,334,321,1919,352,335
SMF_Lisboa_02,2025-09-12 12:30:00,398,386,1783,437,407
SMF_Lisboa_02,2025-09-12 12:45:00,308,293,1602,336,306
SMF_Lisboa_02,2025-09-12 13:00:00,519,495,2571,573,508
SMF_Lisboa_02,2025-09-12 13:15:00,343,331,1671,381,351
SMF_Lisboa_02,2025-09-12 13:30:00,407,398,2010,454,409
SMF_Lisboa_02,2025-09-12 13:45:00,315,299,1695,339,305
SMF_Lisboa_02,2025-09-12 14:00:00,247,238,1421,278,251
SMF_Lisboa_02,2025-09-12 14:15:00,271,266,1342,289,287
SMF_Lisboa_02,2025-09-12 14:30:00,289,283,1530,315,303
SMF_Lisboa_02,2025-09-12 14:45:00,250,241,1161,278,247
SMF_Lisboa_02,2025-09-12 15:00:00,234,223,1357,267,248
SMF_Lisboa_02,2025-09-12 15:15:00,369,348,1724,415,359
SMF_Lisboa_02,2025-09-12 15:30:00,254,240,1184,279,255
SMF_Lisboa_02,2025-09-12 15:45:00,229,220,1037,257,239
SMF_Lisboa_02,2025-09-12 16:00:00,288,274,1394,324,297
SMF_Lisboa_02,2025-09-12 16:15:00,281,275,1199,310,298
SMF_Lisboa_02,2025-09-12 16:30:00,254,240,1138,275,254
SMF_Lisboa_02,2025-09-12 16:45:00,225,219,1321,250,226
SMF_Lisboa_02,2025-09-12 17:00:00,348,337,1640,412,353
SMF_Lisboa_02,2025-09-12 17:15:00,251,245,1119,283,251
SMF_Lisboa_02,2025-09-12 17:30:00,282,267,1441,291,286
SMF_Lisboa_02,2025-09-12 17:45:00,252,244,1305,260,265
SMF_Lisboa_02,2025-09-12 18:00:00,388,374,1911,420,393
SMF_Lisboa_02,2025-09-12 18:15:00,343,337,1915,379,357
SMF_Lisboa_02,2025-09-12 18:30:00,351,343,1697,372,366
SMF_Lisboa_02,2025-09-12 18:45:00,437,426,1927,486,437
SMF_Lisboa_02,2025-09-12 19:00:00,360,351,1715,418,367
SMF_Lisboa_02,2025-09-12 19:15:00,304,294,1649,353,318
SMF_Lisboa_02,2025-09-12 19:30:00,350,342,1817,388,370
SMF_Lisboa_02,2025-09-12 19:45:00,203,197,1364,223,207
SMF_Lisboa_02,2025-09-12 20:00:00,462,450,2130,509,478
SMF_Lisboa_02,2025-09-12 20:15:00,265,261,1393,276,269
SMF_Lisboa_02,2025-09-12 20:30:00,357,345,1839,394,362
SMF_Lisboa_02,2025-09-12 20:45:00,338,323,1878,375,352
SMF_Lisboa_02,2025-09-12 21:00:00,292,284,1455,309,298
SMF_Lisboa_02,2025-09-12 21:15:00,451,447,2247,494,477
SMF_Lisboa_02,2025-09-12 21:30:00,235,226,1207,250,241
SMF_Lisboa_02,2025-09-12 21:45:00,418,415,2062,455,432
SMF_Lisboa_02,2025-09-12 22:00:00,146,140,790,158,145
SMF_Lisboa_02,2025-09-12 22:15:00,153,152,870,156,179
SMF_Lisboa_02,2025-09-12 22:30:00,274,269,1222,304,291
SMF_Lisboa_02,2025-09-12 22:45:00,210,205,1025,229,233
SMF_Lisboa_02,2025-09-12 23:00:00,190,186,991,213,199
SMF_Lisboa_02,2025-09-12 23:15:00,223,216,1072,255,233
SMF_Lisboa_02,2025-09-12 23:30:00,188,184,911,184,202
SMF_Lisboa_02,2025-09-12 23:45:00,186,174,689,188,182
SMF_Lisboa_02,2025-09-13 00:00:00,230,224,1173,241,243
SMF_Lisboa_02,2025-09-13 00:15:00,145,141,766,169,132
SMF_Lisboa_02,2025-09-13 00:30:00,193,188,856,206,193
SMF_Lisboa_02,2025-09-13 00:45:00,202,198,827,205,214
SMF_Lisboa_02,2025-09-13 01:00:00,161,155,766,162,155
SMF_Lisboa_02,2025-09-13 01:15:00,202,198,911,216,204
SMF_Lisboa_02,2025-09-13 01:30:00,104,100,477,102,103
SMF_Lisboa_02,2025-09-13 01:45:00,89,86,573,95,99
SMF_Lisboa_02,2025-09-13 02:00:00,203,201,831,219,202
SMF_Lisboa_02,2025-09-13 02:15:00,220,215,830,252,212
SMF_Lisboa_02,2025-09-13 02:30:00,166,160,845,181,174
SMF_Lisboa_02,2025-09-13 02:45:00,154,147,1009,167,150
SMF_Lisboa_02,2025-09-13 03:00:00,194,181,954,211,198
SMF_Lisboa_02,2025-09-13 03:15:00,210,204,880,238,210
SMF_Lisboa_02,2025-09-13 03:30:00,192,188,970,221,194
SMF_Lisboa_02,2025-09-13 03:45:00,173,174,879,192,176
SMF_Lisboa_02,2025-09-13 04:00:00,191,185,1073,201,201
SMF_Lisboa_02,2025-09-13 04:15:00,171,166,917,176,176
SMF_Lisboa_02,2025-09-13 04:30:00,261,253,1065,293,267
SMF_Lisboa_02,2025-09-13 04:45:00,166,163,945,186,168
SMF_Lisboa_02,2025-09-13 05:00:00,144,142,753,151,144
SMF_Lisboa_02,2025-09-13 05:15:00,134,131,576,150,139
SMF_Lisboa_02,2025-09-13 05:30:00,154,146,788,182,152
SMF_Lisboa_02,2025-09-13 05:45:00,189,181,1033,207,198
SMF_Lisboa_02,2025-09-13 06:00:00,257,255,1091,271,266
SMF_Lisboa_02,2025-09-13 06:15:00,269,256,1313,287,260
SMF_Lisboa_02,2025-09-13 06:30:00,274,263,1284,303,284
SMF_Lisboa_02,2025-09-13 06:45:00,262,253,1248,300,260
SMF_Lisboa_02,2025-09-13 07:00:00,242,231,1148,272,225
SMF_Lisboa_02,2025-09-13 07:15:00,237,232,1203,250,251
SMF_Lisboa_02,2025-09-13 07:30:00,169,164,1031,190,182
SMF_Lisboa_02,2025-09-13 07:45:00,221,216,1191,237,236
SMF_Lisboa_02,2025-09-13 08:00:00,344,345,1565,390,358
SMF_Lisboa_02,2025-09-13 08:15:00,328,321,1608,363,321
SMF_Lisboa_02,2025-09-13 08:30:00,329,313,1640,349,330
SMF_Lisboa_02,2025-09-13 08:45:00,310,307,1618,344,339
SMF_Lisboa_02,2025-09-13 09:00:00,337,325,1847,362,338
SMF_Lisboa_02,2025-09-13 09:15:00,215,208,1188,251,212
SMF_Lisboa_02,2025-09-13 09:30:00,295,288,1517,318,325
SMF_Lisboa_02,2025-09-13 09:45:00,278,261,1291,296,262
SMF_Lisboa_02,2025-09-13 10:00:00,237,228,1143,253,232
SMF_Lisboa_02,2025-09-13 10:15:00,217,209,1149,225,222
SMF_Lisboa_02,2025-09-13 10:30:00,222,215,1117,237,224
SMF_Lisboa_02,2025-09-13 10:45:00,285,270,1377,299,265
SMF_Lisboa_02,2025-09-13 11:00:00,231,227,1085,252,241
SMF_Lisboa_02,2025-09-13 11:15:00,256,250,1266,280,258
SMF_Lisboa_02,2025-09-13 11:30:00,332,319,1377,369,333
SMF_Lisboa_02,2025-09-13 11:45:00,268,260,1167,312,271
SMF_Lisboa_02,2025-09-13 12:00:00,391,385,1770,420,399
SMF_Lisboa_02,2025-09-13 12:15:00,407,390,2103,449,402
SMF_Lisboa_02,2025-09-13 12:30:00,261,247,1277,282,261
SMF_Lisboa_02,2025-09-13 12:45:00,340,333,1672,369,351
SMF_Lisboa_02,2025-09-13 13:00:00,238,221,1262,252,223
SMF_Lisboa_02,2025-09-13 13:15:00,371,364,1921,404,367
SMF_Lisboa_02,2025-09-13 13:30:00,357,344,1795,392,369
SMF_Lisboa_02,2025-09-13 13:45:00,346,332,1714,387,344
SMF_Lisboa_02,2025-09-13 14:00:00,262,253,1271,284,268
SMF_Lisboa_02,2025-09-13 14:15:00,171,163,887,169,175
SMF_Lisboa_02,2025-09-13 14:30:00,127,125,1028,136,125
SMF_Lisboa_02,2025-09-13 14:45:00,272,267,1448,305,273
SMF_Lisboa_02,2025-09-13 15:00:00,132,127,1035,141,135
SMF_Lisboa_02,2025-09-13 15:15:00,291,282,1387,314,283
SMF_Lisboa_02,2025-09-13 15:30:00,267,259,1299,301,273
SMF_Lisboa_02,2025-09-13 15:45:00,265,261,1315,305,283
SMF_Lisboa_02,2025-09-13 16:00:00,268,250,1221,290,266
SMF_Lisboa_02,2025-09-13 16:15:00,274,272,1270,303,283
SMF_Lisboa_02,2025-09-13 16:30:00,267,263,1393,287,280
SMF_Lisboa_02,2025-09-13 16:45:00,246,240,1156,272,259
SMF_Lisboa_02,2025-09-13 17:00:00,265,256,1230,288,258
SMF_Lisboa_02,2025-09-13 17:15:00,211,201,1023,240,230
SMF_Lisboa_02,2025-09-13 17:30:00,246,238,1250,270,260
SMF_Lisboa_02,2025-09-13 17:45:00,140,138,965,154,151
SMF_Lisboa_02,2025-09-13 18:00:00,300,292,1404,326,307
SMF_Lisboa_02,2025-09-13 18:15:00,380,366,1742,409,389
SMF_Lisboa_02,2025-09-13 18:30:00,335,324,1741,382,342
SMF_Lisboa_02,2025-09-13 18:45:00,336,324,1790,363,339
SMF_Lisboa_02,2025-09-13 19:00:00,324,312,1647,363,334
SMF_Lisboa_02,2025-09-13 19:15:00,318,312,1678,359,309
SMF_Lisboa_02,2025-09-13 19:30:00,322,306,1356,361,339
SMF_Lisboa_02,2025-09-13 19:45:00,399,396,2051,442,413
SMF_Lisboa_02,2025-09-13 20:00:00,430,430,2067,474,450
SMF_Lisboa_02,2025-09-13 20:15:00,301,285,1506,320,307
SMF_Lisboa_02,2025-09-13 20:30:00,285,278,1343,299,288
SMF_Lisboa_02,2025-09-13 20:45:00,289,276,1357,327,268
SMF_Lisboa_02,2025-09-13 21:00:00,250,242,1339,272,241
SMF_Lisboa_02,2025-09-13 21:15:00,327,318,1689,368,333
SMF_Lisboa_02,2025-09-13 21:30:00,341,336,1814,393,352
SMF_Lisboa_02,2025-09-13 21:45:00,272,264,1385,276,275
SMF_Lisboa_02,2025-09-13 22:00:00,227,218,813,236,226
SMF_Lisboa_02,2025-09-13 22:15:00,182,172,1053,202,176
SMF_Lisboa_02,2025-09-13 22:30:00,83,81,618,86,100
SMF_Lisboa_02,2025-09-13 22:45:00,136,132,575,137,155
SMF_Lisboa_02,2025-09-13 23:00:00,52,50,675,55,40
SMF_Lisboa_02,2025-09-13 23:15:00,132,127,744,127,146
SMF_Lisboa_02,2025-09-13 23:30:00,219,209,765,230,228
SMF_Lisboa_02,2025-09-13 23:45:00,121,116,471,126,134
SMF_Lisboa_02,2025-09-14 00:00:00,197,192,1082,219,211
SMF_Lisboa_02,2025-09-14 00:15:00,71,69,608,79,64
SMF_Lisboa_02,2025-09-14 00:30:00,121,117,806,137,131
